city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
0.55,Female,Has relevent experience,Full time course,Masters,STEM,15,4.0,Funded Startup,2,55,0.0
0.579,Male,Has relevent experience,No Enrollment,Masters,STEM,8,4.0,Pvt Ltd,3,90,1.0
0.939,Male,Has relevent experience,No Enrollment,Graduate,STEM,16,2.0,Pvt Ltd,2,24,0.0
0.624,Not provided,Has relevent experience,No Enrollment,Masters,STEM,6,5.0,Pvt Ltd,1,5,1.0
0.939,Male,Has relevent experience,No Enrollment,Graduate,STEM,9,6.0,Pvt Ltd,5,11,0.0
0.884,Male,Has relevent experience,No Enrollment,Masters,STEM,11,5.0,Funded Startup,1,22,0.0
0.8270000000000001,Male,Has relevent experience,No Enrollment,Masters,STEM,20,2.0,Pvt Ltd,4,34,0.0
0.91,Male,Has relevent experience,No Enrollment,Masters,STEM,9,6.0,Pvt Ltd,1,82,0.0
0.92,Male,No relevent experience,No Enrollment,Phd,STEM,14,6.0,Pvt Ltd,1,15,0.0
0.92,Not provided,Has relevent experience,No Enrollment,Graduate,No Major,20,3.0,Pvt Ltd,2,79,0.0
0.698,Male,Has relevent experience,No Enrollment,High School,STEM,7,1.0,Funded Startup,1,48,0.0
0.624,Male,Has relevent experience,Full time course,Graduate,STEM,6,3.0,Pvt Ltd,4,99,0.0
0.5579999999999999,Male,Has relevent experience,Full time course,Graduate,STEM,5,2.0,Early Stage Startup,1,74,1.0
0.884,Male,Has relevent experience,No Enrollment,Masters,STEM,15,3.0,Funded Startup,1,11,0.0
0.92,Male,Has relevent experience,No Enrollment,Masters,Humanities,5,3.0,Funded Startup,1,129,0.0
0.91,Not provided,No relevent experience,No Enrollment,Graduate,STEM,20,3.0,Pvt Ltd,5,2,0.0
0.895,Male,Has relevent experience,Part time course,Graduate,Arts,2,2.0,Pvt Ltd,1,2,0.0
0.68,Female,Has relevent experience,Full time course,Graduate,STEM,5,3.0,Pvt Ltd,4,41,1.0
0.895,Not provided,Has relevent experience,No Enrollment,Masters,STEM,8,3.0,Pvt Ltd,2,53,0.0
0.924,Male,Has relevent experience,No Enrollment,Graduate,STEM,9,8.0,Public Sector,2,45,0.0
0.855,Not provided,No relevent experience,Part time course,Graduate,STEM,6,3.0,Pvt Ltd,1,166,0.0
0.92,Male,No relevent experience,No Enrollment,Graduate,Humanities,4,4.0,Pvt Ltd,2,76,0.0
0.92,Male,Has relevent experience,No Enrollment,Graduate,STEM,20,8.0,Pvt Ltd,5,56,0.0
0.92,Male,Has relevent experience,No Enrollment,High School,STEM,19,8.0,Pvt Ltd,3,14,0.0
0.624,Not provided,Has relevent experience,No Enrollment,Graduate,STEM,6,7.0,Pvt Ltd,2,81,1.0
0.625,Male,No relevent experience,Full time course,Graduate,STEM,6,4.0,Funded Startup,2,6,1.0
0.924,Male,Has relevent experience,No Enrollment,Masters,STEM,20,6.0,Pvt Ltd,5,162,0.0
0.624,Not provided,No relevent experience,No Enrollment,Graduate,STEM,0,3.0,Public Sector,1,95,1.0
0.91,Male,Has relevent experience,No Enrollment,Masters,STEM,12,6.0,Pvt Ltd,5,36,1.0
0.625,Not provided,No relevent experience,Full time course,Graduate,STEM,5,3.0,Funded Startup,1,117,1.0
0.926,Male,Has relevent experience,No Enrollment,Graduate,STEM,6,3.0,Pvt Ltd,3,2,0.0
0.92,Male,Has relevent experience,No Enrollment,Graduate,STEM,17,8.0,Pvt Ltd,1,10,0.0
0.92,Male,Has relevent experience,No Enrollment,Masters,Other,20,3.0,Pvt Ltd,5,135,0.0
0.92,Not provided,Has relevent experience,No Enrollment,Masters,STEM,14,8.0,Pvt Ltd,1,56,0.0
0.563,Male,Has relevent experience,Part time course,Graduate,STEM,5,2.0,Pvt Ltd,3,44,1.0
0.887,Male,Has relevent experience,No Enrollment,Graduate,STEM,20,5.0,Pvt Ltd,5,4,0.0
0.926,Male,Has relevent experience,No Enrollment,Masters,Other,7,4.0,Pvt Ltd,1,62,0.0
0.92,Male,Has relevent experience,No Enrollment,Graduate,STEM,20,4.0,Pvt Ltd,1,46,0.0
0.6890000000000001,Not provided,No relevent experience,No Enrollment,Primary School,Humanities,2,4.0,Funded Startup,2,46,0.0
0.556,Male,Has relevent experience,No Enrollment,Masters,STEM,10,4.0,Public Sector,5,46,1.0
0.92,Male,Has relevent experience,No Enrollment,Graduate,Other,5,8.0,Pvt Ltd,1,28,0.0
0.92,Not provided,Has relevent experience,Part time course,Graduate,STEM,7,7.0,Public Sector,4,110,0.0
0.5579999999999999,Male,Has relevent experience,No Enrollment,Graduate,STEM,4,1.0,Pvt Ltd,1,80,0.0
0.527,Male,No relevent experience,Full time course,Graduate,STEM,3,5.0,Funded Startup,1,16,1.0
0.92,Male,Has relevent experience,No Enrollment,Graduate,STEM,20,5.0,Pvt Ltd,4,104,0.0
0.92,Male,Has relevent experience,No Enrollment,Graduate,STEM,7,7.0,Pvt Ltd,4,86,0.0
0.89,Male,Has relevent experience,No Enrollment,Masters,STEM,20,3.0,Pvt Ltd,1,35,0.0
0.92,Male,Has relevent experience,No Enrollment,Graduate,STEM,20,3.0,Pvt Ltd,5,96,0.0
0.92,Male,Has relevent experience,Part time course,Graduate,STEM,14,3.0,Pvt Ltd,5,22,0.0
0.92,Not provided,Has relevent experience,Part time course,Graduate,STEM,14,5.0,Public Sector,1,47,0.0
0.516,Not provided,Has relevent experience,Full time course,Graduate,STEM,11,2.0,Pvt Ltd,4,168,1.0
0.92,Male,Has relevent experience,No Enrollment,Graduate,STEM,20,2.0,Pvt Ltd,0,39,0.0
0.903,Male,No relevent experience,No Enrollment,Primary School,Humanities,6,6.0,Pvt Ltd,0,178,0.0
0.897,Male,Has relevent experience,No Enrollment,Graduate,STEM,20,2.0,Pvt Ltd,1,21,0.0
0.91,Male,Has relevent experience,No Enrollment,Masters,STEM,7,3.0,Funded Startup,1,53,0.0
0.926,Male,Has relevent experience,No Enrollment,High School,STEM,20,3.0,Pvt Ltd,3,18,0.0
0.8959999999999999,Male,Has relevent experience,No Enrollment,Masters,STEM,10,1.0,Early Stage Startup,4,10,0.0
0.516,Male,Has relevent experience,No Enrollment,Graduate,STEM,3,3.0,Funded Startup,0,9,1.0
0.89,Male,Has relevent experience,No Enrollment,Graduate,STEM,8,3.0,Pvt Ltd,0,36,0.0
0.68,Male,Has relevent experience,Part time course,Graduate,STEM,4,4.0,Pvt Ltd,1,46,0.0
0.624,Male,Has relevent experience,No Enrollment,Masters,STEM,6,8.0,Pvt Ltd,3,55,0.0
0.939,Male,No relevent experience,Full time course,High School,Business Degree,3,8.0,Pvt Ltd,3,36,0.0
0.92,Not provided,Has relevent experience,No Enrollment,Graduate,STEM,7,4.0,Other,2,19,0.0
0.913,Male,Has relevent experience,No Enrollment,Graduate,STEM,20,6.0,Pvt Ltd,3,23,0.0
0.624,Male,Has relevent experience,No Enrollment,Graduate,STEM,3,3.0,Pvt Ltd,5,70,0.0
0.518,Not provided,No relevent experience,Full time course,Masters,STEM,2,4.0,Public Sector,1,145,1.0
0.698,Male,Has relevent experience,Part time course,Graduate,STEM,11,3.0,Funded Startup,1,17,0.0
0.4479999999999999,Male,Has relevent experience,Full time course,Phd,STEM,16,8.0,Pvt Ltd,4,25,1.0
0.91,Not provided,Has relevent experience,No Enrollment,Masters,STEM,15,3.0,Funded Startup,1,14,0.0
0.493,Male,Has relevent experience,Full time course,Graduate,STEM,2,4.0,Public Sector,1,111,1.0
0.92,Female,No relevent experience,Full time course,Masters,STEM,20,7.0,Public Sector,5,4,0.0
0.884,Male,Has relevent experience,No Enrollment,Graduate,STEM,20,1.0,Pvt Ltd,5,29,0.0
0.92,Female,Has relevent experience,No Enrollment,Graduate,Other,5,8.0,Funded Startup,2,83,0.0
0.795,Not provided,Has relevent experience,Full time course,Graduate,STEM,10,3.0,Pvt Ltd,1,29,0.0
0.6890000000000001,Male,Has relevent experience,No Enrollment,Graduate,STEM,16,2.0,Pvt Ltd,5,140,0.0
0.698,Male,No relevent experience,Full time course,Graduate,STEM,2,4.0,Pvt Ltd,0,4,0.0
0.92,Male,No relevent experience,No Enrollment,High School,STEM,3,3.0,Pvt Ltd,0,92,0.0
0.624,Not provided,Has relevent experience,Full time course,Graduate,STEM,14,5.0,Pvt Ltd,1,28,1.0
0.789,Male,No relevent experience,No Enrollment,Graduate,STEM,6,8.0,Pvt Ltd,3,82,0.0
0.743,Male,Has relevent experience,No Enrollment,Graduate,STEM,5,4.0,Pvt Ltd,1,158,0.0
0.92,Male,Has relevent experience,No Enrollment,Graduate,STEM,20,7.0,Pvt Ltd,5,108,0.0
0.698,Not provided,Has relevent experience,No Enrollment,Masters,STEM,9,2.0,Funded Startup,4,86,0.0
0.698,Male,No relevent experience,No Enrollment,High School,STEM,1,3.0,Pvt Ltd,0,73,0.0
0.804,Male,Has relevent experience,No Enrollment,Graduate,STEM,20,7.0,Pvt Ltd,5,12,0.0
0.624,Male,Has relevent experience,No Enrollment,Graduate,STEM,0,6.0,Pvt Ltd,1,59,0.0
0.743,Male,Has relevent experience,Full time course,Masters,STEM,20,4.0,Pvt Ltd,5,16,0.0
0.925,Male,Has relevent experience,No Enrollment,Masters,Humanities,14,5.0,Public Sector,4,112,0.0
0.493,Male,Has relevent experience,Full time course,Masters,STEM,15,3.0,Pvt Ltd,2,96,1.0
0.92,Male,Has relevent experience,No Enrollment,Graduate,STEM,5,4.0,NGO,1,85,0.0
0.855,Male,Has relevent experience,No Enrollment,Masters,STEM,14,4.0,Funded Startup,1,134,0.0
0.804,Male,Has relevent experience,No Enrollment,Graduate,STEM,16,3.0,Pvt Ltd,5,52,0.0
0.91,Male,No relevent experience,Full time course,Masters,STEM,10,5.0,Public Sector,2,48,0.0
0.89,Not provided,Has relevent experience,No Enrollment,Graduate,STEM,4,6.0,Pvt Ltd,2,51,0.0
0.8959999999999999,Male,Has relevent experience,No Enrollment,Masters,STEM,10,8.0,Pvt Ltd,1,55,0.0
0.92,Not provided,Has relevent experience,No Enrollment,Graduate,STEM,5,5.0,Funded Startup,1,140,0.0
0.92,Male,Has relevent experience,No Enrollment,Graduate,STEM,18,5.0,Pvt Ltd,5,14,0.0
0.698,Male,Has relevent experience,No Enrollment,Graduate,STEM,20,4.0,Public Sector,3,24,0.0
0.698,Not provided,No relevent experience,No Enrollment,Masters,STEM,2,1.0,Funded Startup,2,113,0.0
0.92,Male,Has relevent experience,No Enrollment,Graduate,STEM,14,8.0,Pvt Ltd,5,40,0.0
0.624,Male,Has relevent experience,Full time course,Graduate,STEM,12,8.0,Pvt Ltd,1,102,1.0
0.92,Male,Has relevent experience,No Enrollment,Graduate,No Major,18,4.0,Early Stage Startup,5,166,0.0
0.493,Male,Has relevent experience,Full time course,Graduate,STEM,9,7.0,Public Sector,2,78,1.0
0.913,Not provided,Has relevent experience,No Enrollment,Graduate,STEM,16,3.0,Pvt Ltd,3,64,0.0
0.899,Not provided,Has relevent experience,No Enrollment,High School,STEM,6,3.0,Funded Startup,1,146,0.0
0.555,Male,No relevent experience,Full time course,Graduate,STEM,2,3.0,Funded Startup,1,45,1.0
0.878,Male,No relevent experience,Part time course,Graduate,STEM,5,8.0,Pvt Ltd,1,77,0.0
0.624,Male,No relevent experience,Full time course,High School,STEM,2,3.0,Pvt Ltd,0,119,1.0
0.624,Not provided,No relevent experience,No Enrollment,Masters,STEM,0,4.0,NGO,1,156,1.0
0.6890000000000001,Male,No relevent experience,Full time course,Graduate,STEM,12,4.0,Funded Startup,2,32,1.0
0.91,Male,No relevent experience,No Enrollment,High School,Humanities,3,5.0,Pvt Ltd,0,182,0.0
0.91,Male,Has relevent experience,No Enrollment,Graduate,STEM,20,8.0,Pvt Ltd,5,76,0.0
0.926,Male,Has relevent experience,No Enrollment,Graduate,STEM,13,1.0,Pvt Ltd,1,17,0.0
0.624,Male,Has relevent experience,No Enrollment,Graduate,STEM,11,8.0,Pvt Ltd,2,148,0.0
0.649,Male,No relevent experience,Full time course,Graduate,STEM,10,4.0,Funded Startup,3,78,1.0
0.924,Male,Has relevent experience,No Enrollment,Graduate,STEM,15,3.0,Public Sector,3,6,0.0
0.913,Male,Has relevent experience,No Enrollment,Graduate,STEM,9,2.0,Pvt Ltd,1,35,0.0
0.92,Male,Has relevent experience,No Enrollment,Masters,STEM,19,8.0,Pvt Ltd,1,32,0.0
0.92,Not provided,No relevent experience,Full time course,Graduate,STEM,3,5.0,Funded Startup,1,109,0.0
0.7659999999999999,Not provided,Has relevent experience,No Enrollment,Graduate,STEM,6,6.0,Pvt Ltd,2,33,0.0
0.92,Male,Has relevent experience,No Enrollment,Graduate,STEM,10,2.0,Pvt Ltd,4,28,0.0
0.91,Male,Has relevent experience,No Enrollment,Masters,STEM,11,8.0,Pvt Ltd,1,152,0.0
0.487,Not provided,Has relevent experience,Full time course,Graduate,STEM,1,3.0,Public Sector,5,76,1.0
0.91,Male,No relevent experience,Full time course,Graduate,STEM,6,4.0,Pvt Ltd,0,14,0.0
0.91,Male,Has relevent experience,Full time course,High School,Humanities,1,2.0,Pvt Ltd,1,86,0.0
0.555,Male,Has relevent experience,No Enrollment,Graduate,STEM,2,3.0,Funded Startup,2,51,1.0
0.682,Female,Has relevent experience,Part time course,Graduate,STEM,4,4.0,Funded Startup,3,82,0.0
0.91,Male,Has relevent experience,No Enrollment,Masters,STEM,20,1.0,Early Stage Startup,1,55,0.0
0.92,Female,Has relevent experience,No Enrollment,Graduate,STEM,20,6.0,Public Sector,2,180,0.0
0.8959999999999999,Male,No relevent experience,No Enrollment,Primary School,Business Degree,7,4.0,Pvt Ltd,0,50,0.0
0.92,Not provided,Has relevent experience,No Enrollment,Graduate,Humanities,20,6.0,Public Sector,5,234,0.0
0.579,Male,Has relevent experience,Full time course,Graduate,STEM,11,4.0,Funded Startup,5,117,1.0
0.92,Not provided,Has relevent experience,No Enrollment,Graduate,STEM,3,3.0,Funded Startup,1,52,0.0
0.74,Male,Has relevent experience,Part time course,Graduate,STEM,14,5.0,Pvt Ltd,5,12,0.0
0.563,Male,Has relevent experience,No Enrollment,Graduate,STEM,2,3.0,Funded Startup,0,23,1.0
0.92,Male,No relevent experience,No Enrollment,Graduate,STEM,20,8.0,Pvt Ltd,4,102,0.0
0.624,Male,Has relevent experience,Full time course,Graduate,STEM,11,8.0,Pvt Ltd,1,57,1.0
0.926,Not provided,No relevent experience,Part time course,High School,STEM,4,8.0,Pvt Ltd,2,5,0.0
0.55,Male,Has relevent experience,Part time course,Graduate,STEM,3,3.0,Funded Startup,1,13,1.0
0.926,Not provided,Has relevent experience,No Enrollment,Masters,STEM,7,6.0,Pvt Ltd,1,22,0.0
0.91,Male,Has relevent experience,No Enrollment,Masters,STEM,6,3.0,Funded Startup,1,72,0.0
0.924,Male,Has relevent experience,No Enrollment,Graduate,STEM,11,1.0,Funded Startup,3,40,0.0
0.92,Male,Has relevent experience,Part time course,Graduate,STEM,8,8.0,Pvt Ltd,2,8,0.0
0.74,Male,Has relevent experience,No Enrollment,Phd,STEM,9,2.0,Early Stage Startup,1,144,0.0
0.92,Female,Has relevent experience,No Enrollment,Masters,STEM,2,4.0,Pvt Ltd,1,40,0.0
0.926,Not provided,Has relevent experience,No Enrollment,Masters,STEM,6,1.0,Pvt Ltd,1,15,0.0
0.92,Female,Has relevent experience,No Enrollment,Graduate,Humanities,4,4.0,Funded Startup,1,33,0.0
0.92,Male,No relevent experience,Full time course,Graduate,STEM,9,4.0,Public Sector,5,46,0.0
0.92,Male,No relevent experience,Part time course,Graduate,STEM,14,8.0,Public Sector,5,50,0.0
0.92,Male,Has relevent experience,No Enrollment,Graduate,STEM,9,4.0,NGO,1,52,0.0
0.625,Male,No relevent experience,Full time course,Graduate,STEM,9,5.0,Funded Startup,1,5,1.0
0.92,Male,Has relevent experience,No Enrollment,Graduate,STEM,20,4.0,Pvt Ltd,5,34,0.0
0.92,Male,Has relevent experience,No Enrollment,Masters,STEM,5,8.0,Pvt Ltd,1,9,0.0
0.624,Male,Has relevent experience,No Enrollment,Graduate,STEM,1,1.0,Early Stage Startup,1,84,1.0
0.8959999999999999,Male,No relevent experience,Part time course,High School,STEM,6,4.0,Funded Startup,1,43,0.0
0.878,Male,No relevent experience,No Enrollment,Primary School,Humanities,6,1.0,Pvt Ltd,3,12,0.0
0.804,Not provided,Has relevent experience,No Enrollment,Masters,STEM,10,4.0,Pvt Ltd,1,48,0.0
0.91,Male,Has relevent experience,No Enrollment,High School,STEM,9,4.0,Pvt Ltd,5,4,0.0
0.926,Not provided,Has relevent experience,Part time course,Masters,STEM,18,5.0,Funded Startup,1,47,0.0
0.92,Male,Has relevent experience,No Enrollment,Masters,STEM,20,3.0,NGO,1,21,0.0
0.624,Male,Has relevent experience,No Enrollment,Masters,STEM,5,5.0,Pvt Ltd,1,102,0.0
0.754,Not provided,Has relevent experience,No Enrollment,Primary School,Humanities,3,4.0,Funded Startup,0,109,0.0
0.939,Male,Has relevent experience,No Enrollment,High School,STEM,6,2.0,Pvt Ltd,1,134,0.0
0.91,Not provided,Has relevent experience,No Enrollment,Graduate,STEM,6,3.0,Public Sector,2,4,0.0
0.624,Male,Has relevent experience,No Enrollment,Graduate,STEM,6,8.0,Pvt Ltd,1,104,1.0
0.887,Not provided,No relevent experience,Full time course,Graduate,STEM,8,5.0,Funded Startup,0,106,0.0
0.698,Not provided,No relevent experience,No Enrollment,Primary School,Humanities,6,4.0,Pvt Ltd,0,17,0.0
0.84,Male,Has relevent experience,No Enrollment,Graduate,STEM,19,4.0,Pvt Ltd,1,102,0.0
0.926,Male,Has relevent experience,No Enrollment,Masters,STEM,3,6.0,Pvt Ltd,1,242,0.0
0.91,Male,Has relevent experience,No Enrollment,Graduate,STEM,6,2.0,Funded Startup,1,68,0.0
0.913,Male,Has relevent experience,No Enrollment,Graduate,STEM,20,8.0,Pvt Ltd,5,59,0.0
0.64,Male,No relevent experience,Full time course,Graduate,STEM,7,6.0,Pvt Ltd,0,21,1.0
0.487,Male,Has relevent experience,No Enrollment,Graduate,STEM,7,4.0,Funded Startup,5,226,0.0
0.92,Male,Has relevent experience,No Enrollment,Graduate,STEM,10,8.0,Pvt Ltd,1,52,0.0
0.878,Male,Has relevent experience,No Enrollment,Graduate,STEM,20,8.0,Pvt Ltd,5,42,0.0
0.624,Male,Has relevent experience,Full time course,Graduate,STEM,6,1.0,Early Stage Startup,0,98,0.0
0.92,Male,No relevent experience,Full time course,Graduate,STEM,0,5.0,Public Sector,1,10,0.0
0.92,Male,Has relevent experience,No Enrollment,Graduate,STEM,20,2.0,Funded Startup,4,48,0.0
0.92,Male,Has relevent experience,No Enrollment,Masters,STEM,8,8.0,Pvt Ltd,1,30,0.0
0.926,Male,Has relevent experience,No Enrollment,Graduate,STEM,20,4.0,Pvt Ltd,4,8,0.0
0.887,Male,Has relevent experience,No Enrollment,Graduate,STEM,20,6.0,Pvt Ltd,5,38,0.0
0.698,Not provided,No relevent experience,No Enrollment,High School,STEM,1,4.0,Pvt Ltd,0,68,0.0
0.518,Male,No relevent experience,Full time course,Graduate,STEM,2,4.0,Pvt Ltd,0,62,1.0
0.691,Male,Has relevent experience,No Enrollment,Graduate,STEM,20,2.0,Pvt Ltd,5,45,0.0
0.92,Male,No relevent experience,No Enrollment,Graduate,Business Degree,4,7.0,Pvt Ltd,1,34,0.0
0.897,Male,Has relevent experience,No Enrollment,Masters,No Major,20,4.0,Pvt Ltd,5,116,0.0
0.92,Male,Has relevent experience,No Enrollment,Graduate,STEM,5,7.0,Pvt Ltd,2,25,0.0
0.915,Male,Has relevent experience,No Enrollment,Masters,STEM,20,1.0,Pvt Ltd,1,104,0.0
0.878,Male,Has relevent experience,No Enrollment,Masters,STEM,20,3.0,Pvt Ltd,5,25,0.0
0.4479999999999999,Male,Has relevent experience,No Enrollment,Graduate,STEM,4,4.0,Pvt Ltd,1,16,0.0
0.926,Male,Has relevent experience,No Enrollment,Masters,STEM,8,3.0,Pvt Ltd,1,2,0.0
0.913,Male,Has relevent experience,No Enrollment,High School,STEM,14,1.0,Pvt Ltd,5,14,0.0
0.624,Not provided,Has relevent experience,No Enrollment,Graduate,STEM,4,5.0,Pvt Ltd,2,19,0.0
0.92,Male,Has relevent experience,No Enrollment,Graduate,Business Degree,20,3.0,Funded Startup,5,77,0.0
0.762,Male,No relevent experience,Full time course,Graduate,STEM,6,5.0,Funded Startup,1,46,0.0
0.92,Male,No relevent experience,No Enrollment,High School,STEM,6,4.0,Funded Startup,1,85,1.0
0.92,Not provided,Has relevent experience,No Enrollment,Graduate,STEM,5,7.0,Pvt Ltd,2,51,0.0
0.624,Not provided,Has relevent experience,No Enrollment,Masters,STEM,17,2.0,Funded Startup,1,11,0.0
0.698,Male,Has relevent experience,No Enrollment,Graduate,STEM,4,4.0,Funded Startup,1,129,0.0
0.527,Male,No relevent experience,Full time course,High School,STEM,2,4.0,Funded Startup,1,9,0.0
0.8270000000000001,Not provided,Has relevent experience,No Enrollment,Masters,STEM,20,5.0,Pvt Ltd,5,160,0.0
0.55,Male,No relevent experience,Full time course,High School,STEM,5,4.0,Pvt Ltd,0,4,1.0
0.624,Not provided,Has relevent experience,Full time course,Graduate,STEM,4,4.0,Funded Startup,2,236,0.0
0.923,Male,Has relevent experience,No Enrollment,Graduate,STEM,14,4.0,Pvt Ltd,1,40,0.0
0.92,Not provided,Has relevent experience,Full time course,Graduate,STEM,3,8.0,Pvt Ltd,1,51,0.0
0.55,Male,Has relevent experience,Full time course,Graduate,STEM,6,4.0,Pvt Ltd,3,166,1.0
0.893,Male,Has relevent experience,No Enrollment,Masters,STEM,17,3.0,Pvt Ltd,5,85,0.0
0.8270000000000001,Male,Has relevent experience,Full time course,Masters,STEM,7,5.0,Funded Startup,2,92,0.0
0.92,Not provided,No relevent experience,No Enrollment,Masters,Humanities,20,8.0,Public Sector,4,154,0.0
0.92,Male,Has relevent experience,No Enrollment,Masters,STEM,9,4.0,Pvt Ltd,1,144,0.0
0.556,Male,Has relevent experience,Full time course,Graduate,STEM,7,4.0,Pvt Ltd,1,27,1.0
0.92,Not provided,No relevent experience,No Enrollment,Phd,STEM,19,4.0,Pvt Ltd,5,152,0.0
0.92,Male,Has relevent experience,No Enrollment,Graduate,STEM,20,6.0,Public Sector,5,33,0.0
0.645,Male,Has relevent experience,No Enrollment,Graduate,STEM,5,3.0,Funded Startup,1,37,1.0
0.939,Male,Has relevent experience,No Enrollment,Graduate,STEM,15,4.0,Pvt Ltd,1,8,0.0
0.91,Male,No relevent experience,No Enrollment,Masters,STEM,5,8.0,Pvt Ltd,0,31,0.0
0.89,Male,Has relevent experience,No Enrollment,Graduate,STEM,15,5.0,Pvt Ltd,0,74,0.0
0.92,Male,Has relevent experience,No Enrollment,Graduate,STEM,20,8.0,Pvt Ltd,2,60,0.0
0.939,Male,Has relevent experience,No Enrollment,Graduate,STEM,8,4.0,Pvt Ltd,2,18,0.0
0.84,Not provided,Has relevent experience,Full time course,Graduate,STEM,6,4.0,Pvt Ltd,4,107,0.0
0.624,Not provided,Has relevent experience,No Enrollment,Masters,STEM,16,5.0,Pvt Ltd,2,13,1.0
0.836,Male,Has relevent experience,No Enrollment,Masters,STEM,20,4.0,Pvt Ltd,1,5,0.0
0.899,Male,Has relevent experience,No Enrollment,Masters,STEM,20,1.0,Early Stage Startup,1,15,0.0
0.899,Male,Has relevent experience,No Enrollment,Graduate,STEM,16,5.0,Funded Startup,4,50,0.0
0.83,Male,Has relevent experience,No Enrollment,Graduate,Other,10,4.0,Pvt Ltd,2,70,0.0
0.92,Male,No relevent experience,Full time course,High School,STEM,4,8.0,Pvt Ltd,1,194,0.0
0.6659999999999999,Female,No relevent experience,No Enrollment,Graduate,STEM,6,2.0,Funded Startup,0,70,0.0
