Time,TimeQuarter,Industry,Demand
2010.5,2010 Q3,IT & Other Information Services,508.333333333333
2010.5,2010 Q3,Financial Services,2333.33333333333
2010.5,2010 Q3,Insurance Services,412.5
2010.5,2010 Q3,Real Estate Services,1133.33333333333
2010.5,2010 Q3,"Legal, Accounting & Management Services",850.0
2010.5,2010 Q3,Architectural & Engineering Services,562.5
2010.5,2010 Q3,Other Professional Services,366.666666666667
2010.5,2010 Q3,Security & Investigation,1620.83333333333
2010.5,2010 Q3,Cleaning & Landscaping,433.333333333333
2010.5,2010 Q3,Other Administrative & Support Services,741.666666666667
2010.5,2010 Q3,Public Administration & Education,7016.66666666667
2010.5,2010 Q3,Health & Social Services,2250.0
2010.5,2010 Q3,"Arts, Entertainment & Recreation",925.0
2010.5,2010 Q3,"Other Community, Social & Personal Services",1950.0
2010.5,2010 Q3,Others,366.666666666667
2010.75,2010 Q4,"Food, Beverages & Tobacco",625.0
2010.75,2010 Q4,Paper/Rubber/Plastic Products & Printing,600.0
2010.75,2010 Q4,"Petroleum, Chemical & Pharmaceutical Products",504.166666666667
2010.75,2010 Q4,"Fabricated Metal Products, Machinery & Equipment",2037.5
2010.75,2010 Q4,"Electronic, Computer & Optical Products",2562.5
2010.75,2010 Q4,Transport Equipment,1383.33333333333
2010.75,2010 Q4,Other Manufacturing Industries,700.0
2010.75,2010 Q4,Construction,3516.66666666667
2010.75,2010 Q4,Wholesale Trade,3145.83333333333
2010.75,2010 Q4,Retail Trade,2945.83333333333
2010.75,2010 Q4,Land Transport & Supporting Services,933.333333333333
2010.75,2010 Q4,Water Transport & Supporting Services,345.833333333333
2010.75,2010 Q4,Air Transport & Supporting Services,700.0
2010.75,2010 Q4,Other Transportation & Storage Services,912.5
2010.75,2010 Q4,Accommodation,1016.66666666667
2010.75,2010 Q4,Food & Beverage Services,4133.33333333333
2010.75,2010 Q4,"Telecommunications, Broadcasting & Publishing",604.166666666667
2010.75,2010 Q4,IT & Other Information Services,895.833333333333
2010.75,2010 Q4,Financial Services,2045.83333333333
2010.75,2010 Q4,Insurance Services,408.333333333333
2010.75,2010 Q4,Real Estate Services,2229.16666666667
2010.75,2010 Q4,"Legal, Accounting & Management Services",1241.66666666667
2010.75,2010 Q4,Architectural & Engineering Services,554.166666666667
2010.75,2010 Q4,Other Professional Services,725.0
2010.75,2010 Q4,Security & Investigation,2108.33333333333
2010.75,2010 Q4,Cleaning & Landscaping,1066.66666666667
2010.75,2010 Q4,Other Administrative & Support Services,1095.83333333333
2010.75,2010 Q4,Public Administration & Education,7254.16666666667
2010.75,2010 Q4,Health & Social Services,1487.5
2010.75,2010 Q4,"Arts, Entertainment & Recreation",1029.16666666667
2010.75,2010 Q4,"Other Community, Social & Personal Services",1800.0
2010.75,2010 Q4,Others,395.833333333333
2011.0,2011 Q1,"Food, Beverages & Tobacco",729.166666666667
2011.0,2011 Q1,Paper/Rubber/Plastic Products & Printing,475.0
2011.0,2011 Q1,"Petroleum, Chemical & Pharmaceutical Products",300.0
2011.0,2011 Q1,"Fabricated Metal Products, Machinery & Equipment",1070.83333333333
2011.0,2011 Q1,"Electronic, Computer & Optical Products",2275.0
2011.0,2011 Q1,Transport Equipment,1766.66666666667
2011.0,2011 Q1,Other Manufacturing Industries,695.833333333333
2011.0,2011 Q1,Construction,3416.66666666667
2011.0,2011 Q1,Wholesale Trade,2104.16666666667
2011.0,2011 Q1,Retail Trade,2008.33333333333
2011.0,2011 Q1,Land Transport & Supporting Services,1270.83333333333
2011.0,2011 Q1,Water Transport & Supporting Services,487.5
2011.0,2011 Q1,Air Transport & Supporting Services,608.333333333333
2011.0,2011 Q1,Other Transportation & Storage Services,591.666666666667
2011.0,2011 Q1,Accommodation,1020.83333333333
2011.0,2011 Q1,Food & Beverage Services,2491.66666666667
2011.0,2011 Q1,"Telecommunications, Broadcasting & Publishing",487.5
2011.0,2011 Q1,IT & Other Information Services,1150.0
2011.0,2011 Q1,Financial Services,2529.16666666667
2011.0,2011 Q1,Insurance Services,508.333333333333
2011.0,2011 Q1,Real Estate Services,1654.16666666667
2011.0,2011 Q1,"Legal, Accounting & Management Services",929.166666666667
2011.0,2011 Q1,Architectural & Engineering Services,420.833333333333
2011.0,2011 Q1,Other Professional Services,620.833333333333
2011.0,2011 Q1,Security & Investigation,2095.83333333333
2011.0,2011 Q1,Cleaning & Landscaping,800.0
2011.0,2011 Q1,Other Administrative & Support Services,945.833333333333
2011.0,2011 Q1,Public Administration & Education,6533.33333333333
2011.0,2011 Q1,Health & Social Services,1633.33333333333
2011.0,2011 Q1,"Arts, Entertainment & Recreation",1050.0
2011.0,2011 Q1,"Other Community, Social & Personal Services",1012.5
2011.0,2011 Q1,Others,379.166666666667
2011.25,2011 Q2,"Food, Beverages & Tobacco",500.0
2011.25,2011 Q2,Paper/Rubber/Plastic Products & Printing,595.833333333333
2011.25,2011 Q2,"Petroleum, Chemical & Pharmaceutical Products",400.0
2011.25,2011 Q2,"Fabricated Metal Products, Machinery & Equipment",1687.5
2011.25,2011 Q2,"Electronic, Computer & Optical Products",2445.83333333333
2011.25,2011 Q2,Transport Equipment,3016.66666666667
2011.25,2011 Q2,Other Manufacturing Industries,837.5
2011.25,2011 Q2,Construction,3720.83333333333
2011.25,2011 Q2,Wholesale Trade,2912.5
2011.25,2011 Q2,Retail Trade,2029.16666666667
2011.25,2011 Q2,Land Transport & Supporting Services,1133.33333333333
2011.25,2011 Q2,Water Transport & Supporting Services,400.0
2011.25,2011 Q2,Air Transport & Supporting Services,816.666666666667
2011.25,2011 Q2,Other Transportation & Storage Services,600.0
2011.25,2011 Q2,Accommodation,1241.66666666667
2011.25,2011 Q2,Food & Beverage Services,2458.33333333333
2011.25,2011 Q2,"Telecommunications, Broadcasting & Publishing",591.666666666667
2011.25,2011 Q2,IT & Other Information Services,783.333333333333
2011.25,2011 Q2,Financial Services,2758.33333333333
2011.25,2011 Q2,Insurance Services,495.833333333333
2011.25,2011 Q2,Real Estate Services,1791.66666666667
2011.25,2011 Q2,"Legal, Accounting & Management Services",1083.33333333333
2011.25,2011 Q2,Architectural & Engineering Services,508.333333333333
2011.25,2011 Q2,Other Professional Services,716.666666666667
2011.25,2011 Q2,Security & Investigation,2350.0
2011.25,2011 Q2,Cleaning & Landscaping,954.166666666667
2011.25,2011 Q2,Other Administrative & Support Services,1133.33333333333
2011.25,2011 Q2,Public Administration & Education,6120.83333333333
2011.25,2011 Q2,Health & Social Services,2737.5
2011.25,2011 Q2,"Arts, Entertainment & Recreation",1041.66666666667
2011.25,2011 Q2,"Other Community, Social & Personal Services",2266.66666666667
2011.25,2011 Q2,Others,408.333333333333
2011.5,2011 Q3,"Food, Beverages & Tobacco",608.333333333333
2011.5,2011 Q3,Paper/Rubber/Plastic Products & Printing,479.166666666667
2011.5,2011 Q3,"Petroleum, Chemical & Pharmaceutical Products",500.0
2011.5,2011 Q3,"Fabricated Metal Products, Machinery & Equipment",2383.33333333333
2011.5,2011 Q3,"Electronic, Computer & Optical Products",2770.83333333333
2011.5,2011 Q3,Transport Equipment,3229.16666666667
2011.5,2011 Q3,Other Manufacturing Industries,712.5
2011.5,2011 Q3,Construction,3700.0
2011.5,2011 Q3,Wholesale Trade,3004.16666666667
2011.5,2011 Q3,Retail Trade,2033.33333333333
2011.5,2011 Q3,Land Transport & Supporting Services,1241.66666666667
2011.5,2011 Q3,Water Transport & Supporting Services,579.166666666667
2011.5,2011 Q3,Air Transport & Supporting Services,1479.16666666667
2011.5,2011 Q3,Other Transportation & Storage Services,587.5
2011.5,2011 Q3,Accommodation,1095.83333333333
2011.5,2011 Q3,Food & Beverage Services,3233.33333333333
2011.5,2011 Q3,"Telecommunications, Broadcasting & Publishing",929.166666666667
2011.5,2011 Q3,IT & Other Information Services,887.5
2011.5,2011 Q3,Financial Services,3316.66666666667
2011.5,2011 Q3,Insurance Services,500.0
2011.5,2011 Q3,Real Estate Services,1883.33333333333
2011.5,2011 Q3,"Legal, Accounting & Management Services",1112.5
2011.5,2011 Q3,Architectural & Engineering Services,554.166666666667
2011.5,2011 Q3,Other Professional Services,716.666666666667
2011.5,2011 Q3,Security & Investigation,2333.33333333333
2011.5,2011 Q3,Cleaning & Landscaping,1179.16666666667
2011.5,2011 Q3,Other Administrative & Support Services,1008.33333333333
2011.5,2011 Q3,Public Administration & Education,8241.66666666667
2011.5,2011 Q3,Health & Social Services,3225.0
2011.5,2011 Q3,"Arts, Entertainment & Recreation",791.666666666667
2011.5,2011 Q3,"Other Community, Social & Personal Services",2337.5
2011.5,2011 Q3,Others,700.0
2011.75,2011 Q4,"Food, Beverages & Tobacco",1083.33333333333
2011.75,2011 Q4,Paper/Rubber/Plastic Products & Printing,633.333333333333
2011.75,2011 Q4,"Petroleum, Chemical & Pharmaceutical Products",387.5
2011.75,2011 Q4,"Fabricated Metal Products, Machinery & Equipment",1916.66666666667
2011.75,2011 Q4,"Electronic, Computer & Optical Products",2520.83333333333
2011.75,2011 Q4,Transport Equipment,1158.33333333333
2011.75,2011 Q4,Other Manufacturing Industries,954.166666666667
2011.75,2011 Q4,Construction,3820.83333333333
2011.75,2011 Q4,Wholesale Trade,3787.5
2011.75,2011 Q4,Retail Trade,2908.33333333333
2011.75,2011 Q4,Land Transport & Supporting Services,1029.16666666667
2011.75,2011 Q4,Water Transport & Supporting Services,433.333333333333
2011.75,2011 Q4,Air Transport & Supporting Services,1375.0
2011.75,2011 Q4,Other Transportation & Storage Services,829.166666666667
2011.75,2011 Q4,Accommodation,1045.83333333333
2011.75,2011 Q4,Food & Beverage Services,4370.83333333333
2011.75,2011 Q4,"Telecommunications, Broadcasting & Publishing",829.166666666667
2011.75,2011 Q4,IT & Other Information Services,1091.66666666667
2011.75,2011 Q4,Financial Services,1729.16666666667
2011.75,2011 Q4,Insurance Services,525.0
2011.75,2011 Q4,Real Estate Services,2533.33333333333
2011.75,2011 Q4,"Legal, Accounting & Management Services",1362.5
2011.75,2011 Q4,Architectural & Engineering Services,704.166666666667
2011.75,2011 Q4,Other Professional Services,704.166666666667
2011.75,2011 Q4,Security & Investigation,2383.33333333333
2011.75,2011 Q4,Cleaning & Landscaping,1404.16666666667
2011.75,2011 Q4,Other Administrative & Support Services,1229.16666666667
2011.75,2011 Q4,Public Administration & Education,7033.33333333333
2011.75,2011 Q4,Health & Social Services,2254.16666666667
2011.75,2011 Q4,"Arts, Entertainment & Recreation",1370.83333333333
2011.75,2011 Q4,"Other Community, Social & Personal Services",1333.33333333333
2011.75,2011 Q4,Others,625.0
2012.0,2012 Q1,"Food, Beverages & Tobacco",845.833333333333
2012.0,2012 Q1,Paper/Rubber/Plastic Products & Printing,516.666666666667
2012.0,2012 Q1,"Petroleum, Chemical & Pharmaceutical Products",416.666666666667
2012.0,2012 Q1,"Fabricated Metal Products, Machinery & Equipment",2870.83333333333
2012.0,2012 Q1,"Electronic, Computer & Optical Products",2162.5
2012.0,2012 Q1,Transport Equipment,1154.16666666667
2012.0,2012 Q1,Other Manufacturing Industries,491.666666666667
2012.0,2012 Q1,Construction,3654.16666666667
2012.0,2012 Q1,Wholesale Trade,3950.0
2012.0,2012 Q1,Retail Trade,3095.83333333333
2012.0,2012 Q1,Land Transport & Supporting Services,1395.83333333333
2012.0,2012 Q1,Water Transport & Supporting Services,416.666666666667
2012.0,2012 Q1,Air Transport & Supporting Services,1579.16666666667
2012.0,2012 Q1,Other Transportation & Storage Services,854.166666666667
2012.0,2012 Q1,Accommodation,1283.33333333333
2012.0,2012 Q1,Food & Beverage Services,3337.5
2012.0,2012 Q1,"Telecommunications, Broadcasting & Publishing",625.0
2012.0,2012 Q1,IT & Other Information Services,1191.66666666667
2012.0,2012 Q1,Financial Services,1925.0
2012.0,2012 Q1,Insurance Services,404.166666666667
2012.0,2012 Q1,Real Estate Services,1841.66666666667
2012.0,2012 Q1,"Legal, Accounting & Management Services",916.666666666667
2012.0,2012 Q1,Architectural & Engineering Services,820.833333333333
2012.0,2012 Q1,Other Professional Services,833.333333333333
2012.0,2012 Q1,Security & Investigation,2366.66666666667
2012.0,2012 Q1,Cleaning & Landscaping,1250.0
2012.0,2012 Q1,Other Administrative & Support Services,837.5
2012.0,2012 Q1,Public Administration & Education,7150.0
2012.0,2012 Q1,Health & Social Services,2600.0
2012.0,2012 Q1,"Arts, Entertainment & Recreation",1037.5
2012.0,2012 Q1,"Other Community, Social & Personal Services",2054.16666666667
2012.0,2012 Q1,Others,629.166666666667
2012.25,2012 Q2,"Food, Beverages & Tobacco",400.0
2012.25,2012 Q2,Paper/Rubber/Plastic Products & Printing,641.666666666667
2012.25,2012 Q2,"Petroleum, Chemical & Pharmaceutical Products",408.333333333333
2012.25,2012 Q2,"Fabricated Metal Products, Machinery & Equipment",2554.16666666667
2012.25,2012 Q2,"Electronic, Computer & Optical Products",2004.16666666667
2012.25,2012 Q2,Transport Equipment,1341.66666666667
2012.25,2012 Q2,Other Manufacturing Industries,658.333333333333
2012.25,2012 Q2,Construction,3487.5
2012.25,2012 Q2,Wholesale Trade,3208.33333333333
2012.25,2012 Q2,Retail Trade,2520.83333333333
2012.25,2012 Q2,Land Transport & Supporting Services,1162.5
2012.25,2012 Q2,Water Transport & Supporting Services,429.166666666667
2012.25,2012 Q2,Air Transport & Supporting Services,1237.5
2012.25,2012 Q2,Other Transportation & Storage Services,854.166666666667
2012.25,2012 Q2,Accommodation,1166.66666666667
2012.25,2012 Q2,Food & Beverage Services,3341.66666666667
2012.25,2012 Q2,"Telecommunications, Broadcasting & Publishing",637.5
2012.25,2012 Q2,IT & Other Information Services,733.333333333333
2012.25,2012 Q2,Financial Services,2475.0
2012.25,2012 Q2,Insurance Services,408.333333333333
2012.25,2012 Q2,Real Estate Services,1454.16666666667
2012.25,2012 Q2,"Legal, Accounting & Management Services",1075.0
2012.25,2012 Q2,Architectural & Engineering Services,558.333333333333
2012.25,2012 Q2,Other Professional Services,612.5
2012.25,2012 Q2,Security & Investigation,1516.66666666667
2012.25,2012 Q2,Cleaning & Landscaping,1279.16666666667
2012.25,2012 Q2,Other Administrative & Support Services,720.833333333333
2012.25,2012 Q2,Public Administration & Education,6312.5
2012.25,2012 Q2,Health & Social Services,2591.66666666667
2012.25,2012 Q2,"Arts, Entertainment & Recreation",829.166666666667
2012.25,2012 Q2,"Other Community, Social & Personal Services",1362.5
2012.25,2012 Q2,Others,525.0
2012.5,2012 Q3,"Food, Beverages & Tobacco",404.166666666667
2012.5,2012 Q3,Paper/Rubber/Plastic Products & Printing,395.833333333333
2012.5,2012 Q3,"Petroleum, Chemical & Pharmaceutical Products",520.833333333333
2012.5,2012 Q3,"Fabricated Metal Products, Machinery & Equipment",2758.33333333333
2012.5,2012 Q3,"Electronic, Computer & Optical Products",2029.16666666667
2012.5,2012 Q3,Transport Equipment,1320.83333333333
2012.5,2012 Q3,Other Manufacturing Industries,504.166666666667
2012.5,2012 Q3,Construction,3558.33333333333
2012.5,2012 Q3,Wholesale Trade,3141.66666666667
2012.5,2012 Q3,Retail Trade,2508.33333333333
2012.5,2012 Q3,Land Transport & Supporting Services,941.666666666667
2012.5,2012 Q3,Water Transport & Supporting Services,762.5
2012.5,2012 Q3,Air Transport & Supporting Services,1387.5
2012.5,2012 Q3,Other Transportation & Storage Services,837.5
2012.5,2012 Q3,Accommodation,929.166666666667
2012.5,2012 Q3,Food & Beverage Services,2583.33333333333
2012.5,2012 Q3,"Telecommunications, Broadcasting & Publishing",733.333333333333
2012.5,2012 Q3,IT & Other Information Services,841.666666666667
2012.5,2012 Q3,Financial Services,2200.0
2012.5,2012 Q3,Insurance Services,295.833333333333
2012.5,2012 Q3,Real Estate Services,2545.83333333333
2012.5,2012 Q3,"Legal, Accounting & Management Services",1045.83333333333
2012.5,2012 Q3,Architectural & Engineering Services,875.0
2012.5,2012 Q3,Other Professional Services,629.166666666667
2012.5,2012 Q3,Security & Investigation,1645.83333333333
2012.5,2012 Q3,Cleaning & Landscaping,1166.66666666667
2012.5,2012 Q3,Other Administrative & Support Services,737.5
2012.5,2012 Q3,Public Administration & Education,5837.5
2012.5,2012 Q3,Health & Social Services,2679.16666666667
2012.5,2012 Q3,"Arts, Entertainment & Recreation",720.833333333333
2012.5,2012 Q3,"Other Community, Social & Personal Services",1583.33333333333
2012.5,2012 Q3,Others,862.5
2012.75,2012 Q4,"Food, Beverages & Tobacco",833.333333333333
2012.75,2012 Q4,Paper/Rubber/Plastic Products & Printing,395.833333333333
2012.75,2012 Q4,"Petroleum, Chemical & Pharmaceutical Products",404.166666666667
2012.75,2012 Q4,"Fabricated Metal Products, Machinery & Equipment",2095.83333333333
2012.75,2012 Q4,"Electronic, Computer & Optical Products",1333.33333333333
2012.75,2012 Q4,Transport Equipment,1137.5
2012.75,2012 Q4,Other Manufacturing Industries,791.666666666667
2012.75,2012 Q4,Construction,4154.16666666667
2012.75,2012 Q4,Wholesale Trade,3704.16666666667
2012.75,2012 Q4,Retail Trade,3554.16666666667
2012.75,2012 Q4,Land Transport & Supporting Services,937.5
2012.75,2012 Q4,Water Transport & Supporting Services,500.0
2012.75,2012 Q4,Air Transport & Supporting Services,1012.5
2012.75,2012 Q4,Other Transportation & Storage Services,1154.16666666667
2012.75,2012 Q4,Accommodation,1229.16666666667
2012.75,2012 Q4,Food & Beverage Services,5800.0
2012.75,2012 Q4,"Telecommunications, Broadcasting & Publishing",608.333333333333
2012.75,2012 Q4,IT & Other Information Services,1254.16666666667
2012.75,2012 Q4,Financial Services,2279.16666666667
2012.75,2012 Q4,Insurance Services,412.5
2012.75,2012 Q4,Real Estate Services,2066.66666666667
2012.75,2012 Q4,"Legal, Accounting & Management Services",1462.5
2012.75,2012 Q4,Architectural & Engineering Services,916.666666666667
2012.75,2012 Q4,Other Professional Services,737.5
2012.75,2012 Q4,Security & Investigation,1554.16666666667
2012.75,2012 Q4,Cleaning & Landscaping,1679.16666666667
2012.75,2012 Q4,Other Administrative & Support Services,1583.33333333333
2012.75,2012 Q4,Public Administration & Education,7179.16666666667
2012.75,2012 Q4,Health & Social Services,2808.33333333333
2012.75,2012 Q4,"Arts, Entertainment & Recreation",1462.5
2012.75,2012 Q4,"Other Community, Social & Personal Services",1333.33333333333
2012.75,2012 Q4,Others,1037.5
2013.0,2013 Q1,"Food, Beverages & Tobacco",525.0
2013.0,2013 Q1,Paper/Rubber/Plastic Products & Printing,300.0
2013.0,2013 Q1,"Petroleum, Chemical & Pharmaceutical Products",408.333333333333
2013.0,2013 Q1,"Fabricated Metal Products, Machinery & Equipment",1400.0
2013.0,2013 Q1,"Electronic, Computer & Optical Products",1629.16666666667
2013.0,2013 Q1,Transport Equipment,1041.66666666667
2013.0,2013 Q1,Other Manufacturing Industries,662.5
2013.0,2013 Q1,Construction,2741.66666666667
2013.0,2013 Q1,Wholesale Trade,2529.16666666667
2013.0,2013 Q1,Retail Trade,3329.16666666667
2013.0,2013 Q1,Land Transport & Supporting Services,841.666666666667
2013.0,2013 Q1,Water Transport & Supporting Services,179.166666666667
2013.0,2013 Q1,Air Transport & Supporting Services,658.333333333333
2013.0,2013 Q1,Other Transportation & Storage Services,1037.5
2013.0,2013 Q1,Accommodation,1258.33333333333
2013.0,2013 Q1,Food & Beverage Services,3979.16666666667
2013.0,2013 Q1,"Telecommunications, Broadcasting & Publishing",604.166666666667
2013.0,2013 Q1,IT & Other Information Services,1025.0
2013.0,2013 Q1,Financial Services,1529.16666666667
2013.0,2013 Q1,Insurance Services,520.833333333333
2013.0,2013 Q1,Real Estate Services,1308.33333333333
2013.0,2013 Q1,"Legal, Accounting & Management Services",883.333333333333
2013.0,2013 Q1,Architectural & Engineering Services,825.0
2013.0,2013 Q1,Other Professional Services,733.333333333333
2013.0,2013 Q1,Security & Investigation,1333.33333333333
2013.0,2013 Q1,Cleaning & Landscaping,837.5
2013.0,2013 Q1,Other Administrative & Support Services,1116.66666666667
2013.0,2013 Q1,Public Administration & Education,5658.33333333333
2013.0,2013 Q1,Health & Social Services,2075.0
2013.0,2013 Q1,"Arts, Entertainment & Recreation",1000.0
2013.0,2013 Q1,"Other Community, Social & Personal Services",1325.0
2013.0,2013 Q1,Others,941.666666666667
2013.25,2013 Q2,"Food, Beverages & Tobacco",737.5
2013.25,2013 Q2,Paper/Rubber/Plastic Products & Printing,500.0
2013.25,2013 Q2,"Petroleum, Chemical & Pharmaceutical Products",733.333333333333
2013.25,2013 Q2,"Fabricated Metal Products, Machinery & Equipment",2016.66666666667
2013.25,2013 Q2,"Electronic, Computer & Optical Products",1745.83333333333
2013.25,2013 Q2,Transport Equipment,1062.5
2013.25,2013 Q2,Other Manufacturing Industries,1000.0
2013.25,2013 Q2,Construction,3983.33333333333
2013.25,2013 Q2,Wholesale Trade,3495.83333333333
2013.25,2013 Q2,Retail Trade,3333.33333333333
2013.25,2013 Q2,Land Transport & Supporting Services,941.666666666667
2013.25,2013 Q2,Water Transport & Supporting Services,1316.66666666667
2013.25,2013 Q2,Air Transport & Supporting Services,983.333333333333
