Time,Formation Manufacturing,Formation Construction,Formation Wholesale Trade,Formation Retail Trade,Formation Transportation & Storage,Formation Accommodation,Formation Food & Beverage Services,Formation Information & Communications,Formation Finance & Insurance,Formation Real Estate,Formation Professional Services,Formation Administrative & Support Services,"Formation Education, Health & Social Services","Formation Arts, Entertainment, Recreation & Other Services",Formation Others
  2010 Jul,210,304,876,493,187,11,249,293,397,101,752,247,240,286,28
  2010 Jun,201,297,863,449,182,12,251,302,359,77,704,266,235,288,27
  2010 May,222,297,783,446,167,10,239,312,335,83,645,245,245,312,21
  2010 Apr,218,326,949,489,167,6,299,319,420,92,746,271,290,296,26
  2010 Mar,233,355,952,493,204,10,271,314,481,72,768,268,308,337,32
  2010 Feb,166,234,699,343,160,7,173,267,331,61,618,188,196,251,17
  2010 Jan,216,279,848,438,168,9,246,268,387,66,718,253,275,314,15
  2009 Dec,185,228,758,375,141,4,205,223,370,74,603,196,225,284,21
  2009 Nov,188,211,772,430,168,5,225,208,344,82,609,211,219,266,21
  2009 Oct,202,287,856,445,172,7,242,294,323,85,733,239,256,348,33
  2009 Sep,180,263,850,555,175,5,244,263,356,94,760,235,248,327,23
  2009 Aug,180,237,813,451,190,13,259,252,287,66,693,230,244,334,27
  2009 Jul,235,318,932,476,210,7,265,297,343,82,767,270,277,395,23
  2009 Jun,179,297,893,495,191,11,284,303,278,70,751,247,225,361,28
  2009 May,201,288,890,433,202,3,249,262,252,59,1355,224,220,332,28
  2009 Apr,214,257,887,425,179,11,249,237,249,78,729,225,240,390,26
  2009 Mar,236,329,939,514,200,9,305,315,254,67,776,287,234,385,25
  2009 Feb,208,267,807,407,177,15,245,263,233,56,668,249,253,340,27
  2009 Jan,194,224,755,404,177,12,244,253,224,54,673,251,249,278,14
  2008 Dec,141,138,557,262,116,11,152,160,193,42,448,207,145,239,13
  2008 Nov,180,179,651,329,136,7,237,219,195,43,482,190,176,309,22
  2008 Oct,198,256,800,372,166,16,240,259,220,46,559,246,217,333,25
  2008 Sep,235,289,753,396,193,11,230,236,297,70,615,238,230,352,31
  2008 Aug,221,274,886,419,196,9,247,270,342,62,655,238,238,350,49
  2008 Jul,294,317,951,496,239,20,272,284,376,72,764,278,243,432,46
  2008 Jun,203,279,797,371,199,12,234,224,337,52,657,228,183,358,37
  2008 May,269,297,835,406,229,18,230,265,394,59,621,256,246,434,35
  2008 Apr,258,339,892,490,237,17,278,252,384,72,734,290,197,348,35
  2008 Mar,265,331,817,435,203,25,267,223,405,58,633,236,205,349,26
  2008 Feb,181,222,648,269,173,12,187,199,305,69,484,191,151,247,30
  2008 Jan,259,276,872,408,206,9,261,287,347,83,679,285,267,326,37
  2007 Dec,162,217,595,295,153,4,186,195,325,61,465,195,149,259,27
  2007 Nov,209,231,755,372,215,11,224,213,419,71,535,213,193,327,39
  2007 Oct,224,298,815,393,183,9,336,277,444,110,593,233,212,334,31
  2007 Sep,191,253,736,357,194,12,218,198,348,84,532,232,172,319,25
  2007 Aug,221,261,843,405,189,10,248,250,407,102,617,229,235,347,26
  2007 Jul,248,258,855,406,209,15,270,260,467,138,595,242,195,323,34
  2007 Jun,231,288,834,404,200,6,256,237,457,96,621,223,190,345,32
  2007 May,229,274,868,423,209,11,262,246,423,107,610,272,212,348,31
  2007 Apr,215,280,859,426,189,13,258,253,352,87,626,240,204,396,32
  2007 Mar,212,288,872,458,228,9,293,255,343,85,644,276,193,376,26
  2007 Feb,163,177,625,264,170,3,176,204,240,57,430,198,185,240,12
  2007 Jan,217,238,866,374,175,6,244,266,277,80,554,243,207,299,27
  2006 Dec,184,190,711,325,152,3,166,196,330,55,502,208,167,252,24
  2006 Nov,182,196,751,385,176,7,218,240,336,72,573,199,161,308,24
  2006 Oct,179,229,778,436,154,6,240,258,318,68,575,206,201,285,18
  2006 Sep,207,229,844,405,134,6,218,275,297,81,535,231,225,311,27
  2006 Aug,210,225,836,419,167,3,221,257,285,69,491,217,166,293,29
  2006 Jul,194,228,807,410,139,10,179,241,240,61,466,242,158,351,22
  2006 Jun,178,224,809,441,179,11,225,254,289,58,470,228,152,346,27
  2006 May,209,230,854,412,157,3,213,266,271,61,512,204,175,346,22
  2006 Apr,193,194,812,401,155,7,240,218,225,51,520,201,144,357,24
  2006 Mar,224,285,966,422,207,13,274,280,298,74,615,260,200,436,25
  2006 Feb,162,210,758,363,162,5,173,217,198,46,490,216,156,365,11
  2006 Jan,159,160,635,279,124,5,136,198,197,32,449,197,150,250,19
  2005 Dec,165,193,729,343,143,8,151,222,268,44,405,222,148,317,24
  2005 Nov,134,166,736,356,140,3,190,228,241,43,409,185,162,319,21
  2005 Oct,184,206,823,357,147,3,218,221,241,54,503,214,210,324,29
  2005 Sep,178,199,849,447,162,7,230,236,221,52,493,205,174,337,19
  2005 Aug,166,184,872,474,174,7,209,241,222,48,519,212,188,350,27
  2005 Jul,181,201,833,404,148,3,235,234,184,59,441,206,175,319,17
  2005 Jun,172,208,851,371,185,6,190,225,232,35,482,218,166,312,19
  2005 May,191,196,902,366,155,3,165,217,197,55,474,313,192,284,17
  2005 Apr,178,218,921,349,180,5,196,205,220,65,492,320,176,337,22
  2005 Mar,162,225,891,439,172,4,225,196,195,66,444,303,167,332,23
  2005 Feb,110,141,628,230,145,3,115,142,170,36,365,216,126,211,21
  2005 Jan,155,153,799,304,151,3,164,194,197,54,502,277,164,239,20
  2004 Dec,146,161,831,315,144,9,181,184,262,51,453,260,165,297,20
  2004 Nov,143,141,752,300,145,7,180,138,173,51,454,237,139,276,13
  2004 Oct,151,177,883,346,130,7,195,229,198,48,491,287,139,305,21
  2004 Sep,157,163,848,337,173,15,183,177,197,66,464,253,149,290,19
  2004 Aug,132,186,908,357,153,10,179,193,162,44,500,261,184,296,20
  2004 Jul,138,191,942,421,156,3,241,234,173,50,459,279,173,312,23
  2004 Jun,138,173,867,316,142,7,188,196,175,62,495,226,188,259,23
  2004 May,174,185,837,414,159,10,198,218,182,48,452,214,179,296,26
  2004 Apr,162,233,909,352,167,1,191,193,188,59,596,257,174,298,21
  2004 Mar,152,218,968,398,204,6,196,236,182,58,518,275,180,332,18
  2004 Feb,134,205,794,382,162,8,189,206,173,42,443,247,170,290,23
  2004 Jan,91,162,704,268,149,1,124,195,134,50,444,195,155,206,12
  2003 Dec,110,148,819,313,133,3,198,185,209,49,416,228,161,257,11
  2003 Nov,125,171,737,295,143,4,153,180,152,40,373,212,171,272,20
  2003 Oct,123,181,972,376,140,2,228,232,160,45,476,235,230,321,25
  2003 Sep,160,220,936,399,159,11,201,247,156,46,502,246,153,286,22
  2003 Aug,128,171,891,346,151,6,181,240,134,50,502,224,166,282,18
  2003 Jul,134,188,851,368,173,6,195,256,124,40,508,272,160,288,21
  2003 Jun,125,191,833,356,132,1,165,229,129,53,430,232,172,267,20
  2003 May,138,213,775,331,141,4,158,198,123,33,418,209,141,226,18
  2003 Apr,156,180,730,288,147,6,159,190,98,46,370,236,155,201,15
  2003 Mar,158,214,886,356,161,3,161,231,105,41,501,255,158,303,12
  2003 Feb,109,184,684,278,113,2,122,179,82,32,327,202,137,203,10
  2003 Jan,102,164,738,273,139,4,125,166,120,34,396,192,160,217,10
  2002 Dec,106,146,588,296,114,5,133,144,97,34,333,212,149,206,15
  2002 Nov,128,144,686,335,126,5,172,179,88,26,367,205,194,199,17
  2002 Oct,155,219,800,441,164,7,177,237,102,29,431,248,187,241,26
  2002 Sep,130,207,783,406,141,5,171,207,92,37,371,203,171,235,17
  2002 Aug,133,211,728,369,149,3,187,218,93,34,411,231,152,240,17
  2002 Jul,153,204,815,377,168,2,178,220,90,29,443,243,191,225,22
  2002 Jun,151,183,633,325,126,3,123,204,86,33,361,174,149,161,14
  2002 May,156,221,846,374,132,7,165,212,113,46,414,234,178,251,7
  2002 Apr,138,240,848,409,159,2,169,221,99,37,490,227,160,223,13
  2002 Mar,163,245,783,389,119,5,166,228,120,38,473,215,149,224,14
  2002 Feb,123,173,564,248,91,4,98,200,79,26,328,166,130,131,9
  2002 Jan,142,233,645,286,140,4,134,213,65,27,356,177,133,201,11
  2001 Dec,137,174,544,240,108,4,103,164,75,20,327,116,132,162,9
  2001 Nov,185,190,584,282,127,0,148,157,96,53,342,154,151,177,8
  2001 Oct,153,221,676,378,148,3,191,218,87,35,361,156,152,210,15
  2001 Sep,193,197,687,352,113,4,166,178,85,28,294,163,118,182,11
  2001 Aug,209,246,735,396,121,4,189,199,75,50,343,164,130,195,18
  2001 Jul,175,248,652,338,140,1,191,189,97,39,342,180,115,190,8
  2001 Jun,170,221,597,306,132,5,171,175,88,37,289,184,110,187,13
  2001 May,195,247,616,309,146,1,170,177,107,32,322,157,109,276,17
  2001 Apr,183,256,631,292,135,3,145,180,98,30,290,173,108,184,12
  2001 Mar,157,329,682,323,162,3,140,210,99,45,376,208,125,211,14
  2001 Feb,152,286,612,288,136,2,118,219,100,33,333,169,117,219,22
  2001 Jan,121,241,516,217,134,4,111,184,106,21,274,136,91,139,12
  2000 Dec,124,200,509,209,121,5,108,209,157,23,258,122,97,132,8
  2000 Nov,149,239,605,288,127,3,118,231,146,30,309,200,125,153,7
  2000 Oct,166,235,612,272,135,1,125,239,139,42,286,164,97,176,13
  2000 Sep,188,281,651,343,125,2,142,260,167,45,341,192,99,169,13
  2000 Aug,224,276,578,318,132,5,112,286,123,53,342,172,103,196,9
  2000 Jul,243,333,698,353,141,4,127,345,131,50,303,194,114,185,21
  2000 Jun,246,320,651,320,142,6,142,348,185,50,344,195,114,205,16
  2000 May,230,306,650,382,127,15,133,379,136,54,355,189,115,204,11
  2000 Apr,232,313,714,325,147,9,118,419,146,40,334,177,103,207,15
  2000 Mar,239,439,742,456,177,7,115,506,171,55,372,282,146,222,15
  2000 Feb,175,325,623,310,123,3,95,358,123,58,333,170,88,173,11
  2000 Jan,169,231,598,306,134,4,101,304,121,71,274,186,102,149,12
  1999 Dec,180,276,634,304,144,3,103,303,143,53,300,159,122,157,10
  1999 Nov,153,275,575,377,125,6,103,258,119,48,281,161,114,186,13
  1999 Oct,182,340,690,369,159,2,155,277,116,56,347,168,110,228,14
  1999 Sep,175,325,695,395,157,2,154,252,114,49,309,156,119,213,7
  1999 Aug,168,323,630,335,127,2,129,195,110,62,276,146,112,196,11
  1999 Jul,182,371,720,363,152,5,154,260,127,61,333,176,131,202,14
  1999 Jun,183,323,687,342,136,3,125,209,92,77,291,183,112,197,3
  1999 May,195,381,674,394,167,2,152,219,85,67,277,159,95,197,16
  1999 Apr,208,405,710,417,156,1,144,184,79,75,318,164,123,222,15
  1999 Mar,206,398,721,359,143,0,131,180,77,51,330,162,128,221,24
  1999 Feb,127,234,503,215,120,3,88,124,58,38,218,97,77,133,7
  1999 Jan,146,252,592,314,111,3,104,151,63,38,237,116,84,171,14
  1998 Dec,166,284,608,310,117,2,135,129,73,67,241,117,105,154,9
  1998 Nov,174,278,584,346,116,0,110,114,75,54,254,134,107,177,9
  1998 Oct,173,313,694,333,115,4,133,155,90,46,253,133,85,165,8
  1998 Sep,154,244,603,361,131,1,129,120,72,51,277,133,110,184,11
  1998 Aug,141,301,605,321,120,3,131,117,66,41,234,138,93,168,17
  1998 Jul,162,309,607,374,107,3,141,127,67,57,284,136,111,187,7
  1998 Jun,168,296,624,294,118,5,115,134,54,50,220,131,102,157,12
  1998 May,153,278,566,275,112,3,118,130,69,49,229,141,90,165,15
  1998 Apr,176,325,559,338,122,4,114,124,70,60,257,149,94,169,15
  1998 Mar,201,336,608,336,152,3,121,129,67,59,285,179,91,208,10
  1998 Feb,185,339,527,275,121,5,100,108,64,35,217,130,75,175,4
  1998 Jan,105,209,424,163,114,5,79,94,68,33,214,105,71,128,10
  1997 Dec,147,232,525,269,107,4,100,114,94,69,243,104,86,138,6
  1997 Nov,149,276,580,267,112,8,118,98,104,61,255,154,80,156,13
  1997 Oct,188,303,636,320,106,6,130,118,95,61,279,139,104,166,15
  1997 Sep,169,338,711,325,155,2,135,140,115,62,268,159,84,169,18
  1997 Aug,171,316,607,308,143,3,105,119,96,60,247,147,73,156,11
  1997 Jul,202,364,712,357,154,5,122,138,150,65,333,164,107,199,17
  1997 Jun,163,349,635,258,141,1,130,117,123,73,271,115,81,171,16
  1997 May,166,384,691,322,138,3,128,110,122,86,287,133,76,166,14
  1997 Apr,213,374,733,314,169,9,160,131,146,99,275,130,75,173,20
  1997 Mar,206,446,689,318,163,2,142,137,148,110,278,147,71,208,10
  1997 Feb,142,322,448,214,117,6,95,107,82,54,231,92,58,130,12
  1997 Jan,186,334,634,266,139,4,98,138,140,91,279,122,73,116,17
  1996 Dec,143,299,587,271,131,6,99,128,178,72,276,95,82,123,16
  1996 Nov,184,323,618,296,116,9,137,121,116,79,249,121,72,156,14
  1996 Oct,198,424,707,324,169,4,141,124,116,113,274,112,89,167,8
  1996 Sep,189,334,644,285,133,3,150,124,133,82,251,115,75,131,14
  1996 Aug,181,339,655,276,154,3,126,106,121,91,279,133,64,140,12
  1996 Jul,228,407,649,287,135,8,140,120,136,96,288,158,75,168,18
  1996 Jun,196,348,660,284,139,11,110,108,129,89,288,132,84,160,14
  1996 May,230,358,743,346,135,4,133,110,154,103,270,111,90,171,10
  1996 Apr,191,373,711,326,171,2,128,82,121,114,288,111,62,158,10
  1996 Mar,222,459,726,345,157,1,159,105,139,110,274,113,85,165,16
  1996 Feb,156,281,514,196,115,4,102,83,116,73,200,94,65,126,7
  1996 Jan,191,322,678,267,157,6,98,94,114,115,259,129,66,157,13
  1995 Dec,155,262,587,232,113,1,93,88,116,75,215,86,63,119,3
  1995 Nov,200,307,699,269,142,3,128,89,126,95,237,124,87,110,11
  1995 Oct,164,299,661,281,130,6,107,98,130,82,203,103,75,135,16
  1995 Sep,174,281,679,339,143,6,119,75,144,112,254,110,72,144,7
  1995 Aug,197,265,726,293,138,6,148,92,123,101,248,101,67,140,14
  1995 Jul,194,313,690,296,149,5,136,87,152,113,269,101,89,147,10
  1995 Jun,210,320,706,336,148,1,121,93,146,86,242,106,71,157,15
  1995 May,192,291,668,286,127,1,132,76,133,94,266,93,56,143,12
  1995 Apr,244,324,686,333,152,4,121,74,133,120,265,112,52,162,13
  1995 Mar,299,373,783,338,178,8,108,82,105,115,272,102,82,172,8
  1995 Feb,207,263,628,265,141,0,92,93,102,82,229,93,64,131,7
  1995 Jan,145,252,629,222,135,2,83,83,126,102,200,87,56,103,18
  1994 Dec,168,224,657,253,126,3,106,83,137,107,204,78,76,84,17
  1994 Nov,173,243,770,301,145,3,125,74,154,117,210,97,70,148,10
  1994 Oct,193,277,777,331,129,3,113,84,168,116,233,110,73,144,13
  1994 Sep,190,275,786,338,155,9,115,67,172,116,276,102,64,162,14
  1994 Aug,215,268,699,305,139,3,116,88,111,102,235,97,71,150,9
  1994 Jul,205,289,701,308,145,2,109,58,132,120,245,91,68,146,12
  1994 Jun,195,278,771,344,150,2,91,78,133,103,249,96,59,147,11
  1994 May,200,249,747,295,151,7,95,74,136,107,245,95,44,152,9
  1994 Apr,230,284,796,316,162,2,101,82,117,125,241,94,51,159,15
  1994 Mar,251,324,891,356,155,4,128,73,159,139,261,104,70,148,14
  1994 Feb,179,258,601,194,119,0,57,67,101,82,186,69,51,121,8
  1994 Jan,166,208,719,241,154,3,93,64,135,109,209,82,57,132,16
  1993 Dec,172,229,724,260,120,4,74,72,129,63,174,83,74,125,10
  1993 Nov,147,242,641,281,132,5,109,59,116,87,193,87,47,122,14
  1993 Oct,205,265,708,290,124,1,96,81,98,109,243,90,51,125,6
  1993 Sep,208,246,747,316,155,4,110,59,111,108,220,87,56,135,14
  1993 Aug,228,268,674,282,126,2,123,54,102,104,204,84,53,127,12
  1993 Jul,204,269,792,312,125,3,121,91,137,113,214,87,61,155,5
  1993 Jun,209,257,733,314,133,2,92,71,132,108,224,90,65,119,8
  1993 May,219,282,752,330,127,5,102,83,119,128,245,90,61,134,14
  1993 Apr,201,271,802,382,167,0,107,72,107,131,235,95,57,124,14
  1993 Mar,268,308,819,371,168,4,108,88,102,106,249,103,57,146,9
